#{"t_start": 1602514522.175182, "env_id": null}
r,l,t
-500.0,500,2.712844
-500.0,500,4.238919
-500.0,500,5.735337
-500.0,500,7.229463
-500.0,500,8.717303
-500.0,500,10.249951
-500.0,500,11.968461
-500.0,500,13.938729
-500.0,500,15.446059
-500.0,500,16.958488
-500.0,500,18.471788
-500.0,500,19.983509
-500.0,500,21.488166
-500.0,500,23.000959
-500.0,500,24.725014
-500.0,500,26.328545
-431.0,432,27.70065
-500.0,500,29.283941
-304.0,305,30.258238
-500.0,500,31.838167
-300.0,301,37.14107
-220.0,221,37.839661
-393.0,394,39.329958
-500.0,500,41.209774
-500.0,500,42.958757
-348.0,349,44.102685
-289.0,290,45.032619
-374.0,375,46.384842
-142.0,143,46.891068
-188.0,189,47.508673
-223.0,224,48.245307
-500.0,500,49.851218
-178.0,179,50.448424
-416.0,417,51.740661
-186.0,187,52.356508
-183.0,184,52.958207
-223.0,224,53.674561
-128.0,129,54.067055
-500.0,500,55.572953
-282.0,283,56.423714
-217.0,218,57.081758
-231.0,232,57.780883
-295.0,296,58.676352
-195.0,196,59.265298
-293.0,294,60.152406
-279.0,280,60.995278
-295.0,296,61.897913
-239.0,240,62.62207
-263.0,264,63.417204
-143.0,144,63.849473
-252.0,253,64.611354
-199.0,200,65.218239
-203.0,204,65.831105
-331.0,332,66.825879
-115.0,116,67.177447
-206.0,207,67.816896
-257.0,258,68.594139
-251.0,252,76.265874
-218.0,219,76.920987
-135.0,136,77.335476
-305.0,306,78.258398
-139.0,140,78.679735
-171.0,172,79.194952
-166.0,167,79.693256
-187.0,188,80.262676
-144.0,145,80.692617
-123.0,124,81.061225
-121.0,122,81.425799
-225.0,226,82.103714
-94.0,95,82.389934
-148.0,149,82.840606
-135.0,136,83.264315
-136.0,137,83.673484
-122.0,123,84.042726
-142.0,143,84.469961
-184.0,185,85.036324
-121.0,122,85.447828
-219.0,220,86.345236
-238.0,239,87.759676
-139.0,140,88.368689
-130.0,131,88.946787
-196.0,197,89.708532
-122.0,123,90.14757
-143.0,144,90.65062
-128.0,129,91.125024
-186.0,187,91.752211
-108.0,109,92.103452
-119.0,120,92.489197
-125.0,126,92.904616
-152.0,153,93.448714
-146.0,147,94.175757
-120.0,121,94.710754
-139.0,140,95.171778
-105.0,106,95.52053
-124.0,125,95.989956
-139.0,140,96.463103
-93.0,94,96.771337
-99.0,100,97.09787
-98.0,99,97.422602
-120.0,121,97.818623
-109.0,110,98.176763
-117.0,118,98.574834
-98.0,99,98.896706
-91.0,92,99.198836
-106.0,107,99.604812
-88.0,89,99.897956
-104.0,105,100.242989
-97.0,98,100.561741
-104.0,105,100.95683
-101.0,102,101.282978
-116.0,117,101.65345
-99.0,100,101.957281
-119.0,120,102.333311
-90.0,91,102.61134
-182.0,183,103.178471
-98.0,99,103.478023
-88.0,89,103.75372
-121.0,122,104.132832
-89.0,90,104.405627
-156.0,157,104.954612
-86.0,87,105.236707
-114.0,115,105.60772
-113.0,114,106.007122
-122.0,123,106.417048
-110.0,111,106.769144
-84.0,85,107.025688
-105.0,106,107.351485
-114.0,115,107.710254
-94.0,95,108.005777
-90.0,91,108.299981
-121.0,122,108.69027
-88.0,89,108.978506
-102.0,103,109.297086
-85.0,86,109.574974
-120.0,121,120.545735
-112.0,113,120.883857
-88.0,89,121.151878
-97.0,98,121.444971
-95.0,96,121.732268
-88.0,89,122.002156
-81.0,82,122.254066
-263.0,264,123.049272
-97.0,98,123.341322
-113.0,114,123.683285
-69.0,70,123.892831
-109.0,110,124.222357
-92.0,93,124.506499
-90.0,91,124.798231
-97.0,98,125.093614
-100.0,101,125.394336
-99.0,100,125.692004
-90.0,91,125.961745
-110.0,111,126.297249
-89.0,90,126.607768
-100.0,101,126.914785
-93.0,94,127.197804
-114.0,115,127.540698
-105.0,106,127.858736
-99.0,100,128.157446
-91.0,92,128.434608
-124.0,125,128.810828
-93.0,94,129.091147
-86.0,87,129.349856
-112.0,113,129.687425
-90.0,91,129.96454
-101.0,102,130.273319
-97.0,98,130.58353
-94.0,95,130.882137
-161.0,162,131.3834
-124.0,125,131.774474
-116.0,117,132.14931
-85.0,86,132.408142
-81.0,82,132.654218
-90.0,91,132.925219
-91.0,92,133.199403
-110.0,111,133.531903
-101.0,102,133.836878
-93.0,94,134.117112
-91.0,92,134.403551
-94.0,95,134.717938
-120.0,121,135.117877
-91.0,92,135.395381
-93.0,94,135.696177
-130.0,131,136.14033
-98.0,99,136.468792
-100.0,101,136.871313
-101.0,102,137.220089
-140.0,141,137.683882
-98.0,99,138.045047
-90.0,91,138.359654
-80.0,81,138.626218
-103.0,104,138.965675
-99.0,100,139.296149
-97.0,98,139.629044
-125.0,126,140.046073
-105.0,106,140.395562
-94.0,95,140.700563
-83.0,84,140.963731
-89.0,90,141.238006
-100.0,101,141.548404
-110.0,111,141.88978
-152.0,153,142.365039
-90.0,91,142.646156
-96.0,97,142.952098
-107.0,108,143.331546
-129.0,130,143.731469
-90.0,91,144.009119
-92.0,93,144.293977
-100.0,101,144.60488
-108.0,109,144.945927
-101.0,102,145.257249
-105.0,106,145.597497
-105.0,106,145.922095
-90.0,91,146.209966
-93.0,94,146.499254
-86.0,87,146.770539
-97.0,98,147.073086
-100.0,101,147.385364
-109.0,110,147.7203
-102.0,103,148.069145
-91.0,92,148.348604
-85.0,86,148.617705
-97.0,98,148.92718
-98.0,99,149.224636
-82.0,83,149.4777
-91.0,92,149.754966
-115.0,116,150.105802
-120.0,121,150.470194
-105.0,106,150.790167
-82.0,83,151.042944
-97.0,98,151.342203
-98.0,99,166.427693
-75.0,76,166.654499
-89.0,90,166.924015
-96.0,97,167.220414
-90.0,91,167.499577
-86.0,87,167.761202
-81.0,82,168.007625
-89.0,90,168.278362
-84.0,85,168.534217
-70.0,71,168.747672
-91.0,92,169.02473
-96.0,97,169.31406
-136.0,137,169.725415
-118.0,119,170.083934
-131.0,132,170.481151
-89.0,90,170.758046
-97.0,98,171.055712
-92.0,93,171.339541
-92.0,93,171.634494
-99.0,100,171.944757
-116.0,117,172.301685
-102.0,103,172.626879
-80.0,81,172.874112
-76.0,77,173.125757
-97.0,98,173.428991
-102.0,103,173.755459
-90.0,91,174.035535
-98.0,99,174.339776
-118.0,119,174.704382
-94.0,95,174.998276
-92.0,93,175.282881
-85.0,86,175.545504
-88.0,89,175.817319
-85.0,86,176.087345
-98.0,99,176.397357
-81.0,82,176.647455
-84.0,85,176.913821
-89.0,90,177.189638
-82.0,83,177.440908
-90.0,91,177.737156
-85.0,86,178.005996
-118.0,119,178.379341
-91.0,92,178.662492
-84.0,85,178.918088
-92.0,93,179.197267
-93.0,94,179.481379
-87.0,88,179.746083
-101.0,102,180.05377
-100.0,101,180.35976
-77.0,78,180.599575
-90.0,91,180.8735
-87.0,88,181.139883
-92.0,93,181.420296
-103.0,104,181.76175
-93.0,94,182.067182
-81.0,82,182.381673
-96.0,97,182.96794
-89.0,90,183.296396
-96.0,97,183.620926
-96.0,97,183.92117
-94.0,95,184.216078
-91.0,92,184.510416
-89.0,90,184.801598
-105.0,106,185.121101
-99.0,100,185.502061
-99.0,100,185.929312
-81.0,82,186.190695
-84.0,85,186.463638
-85.0,86,186.806694
-98.0,99,187.376917
-89.0,90,187.841213
-92.0,93,188.163258
-95.0,96,188.559161
-113.0,114,189.068247
-103.0,104,189.386024
-103.0,104,189.699412
-109.0,110,190.032431
-102.0,103,190.396299
-91.0,92,190.678486
-83.0,84,190.948408
-94.0,95,191.251286
-90.0,91,191.547027
-113.0,114,191.914857
-99.0,100,192.243719
-90.0,91,192.523911
-92.0,93,192.818852
-95.0,96,193.127196
-98.0,99,193.450642
-108.0,109,193.78134
-96.0,97,194.087056
-78.0,79,194.336327
-96.0,97,194.634856
-83.0,84,194.909037
-81.0,82,195.166043
-89.0,90,195.447347
-122.0,123,195.828579
-91.0,92,196.116524
-116.0,117,196.47117
-85.0,86,196.740287
-113.0,114,197.103231
-82.0,83,197.363228
-129.0,130,197.783817
-94.0,95,198.109696
-127.0,128,198.51241
-114.0,115,215.919594
-82.0,83,216.192919
-83.0,84,216.46451
-98.0,99,216.78665
-90.0,91,217.065776
-82.0,83,217.331046
-83.0,84,217.617945
-176.0,177,218.180788
-85.0,86,218.446927
-89.0,90,218.719151
-82.0,83,218.971056
-104.0,105,219.287204
-123.0,124,219.663774
-84.0,85,219.921587
-85.0,86,220.180024
-92.0,93,220.461115
-68.0,69,220.669884
-84.0,85,220.927321
-101.0,102,221.234785
-89.0,90,221.508173
-104.0,105,221.834421
-91.0,92,222.114155
-96.0,97,222.413406
-79.0,80,222.655055
-81.0,82,222.902274
-77.0,78,223.143922
-76.0,77,223.376851
-83.0,84,223.642594
-85.0,86,223.920627
-82.0,83,224.19075
-125.0,126,224.606605
-95.0,96,224.914437
-89.0,90,225.202999
-86.0,87,225.487573
-90.0,91,225.772476
-100.0,101,226.078847
-92.0,93,226.359141
-134.0,135,226.76814
-84.0,85,227.026856
-92.0,93,227.30707
-83.0,84,227.574244
-81.0,82,227.838146
-113.0,114,228.203452
-97.0,98,228.512861
-80.0,81,228.771441
-91.0,92,229.066698
-91.0,92,229.34586
-81.0,82,229.601776
-91.0,92,229.87941
-89.0,90,230.152851
-78.0,79,230.392086
-97.0,98,230.693483
-68.0,69,230.902876
-96.0,97,231.200075
-89.0,90,231.491312
-92.0,93,231.793131
-95.0,96,232.105991
-88.0,89,232.397214
-97.0,98,232.69476
-96.0,97,232.98983
-67.0,68,233.211505
-90.0,91,233.487549
-90.0,91,233.761869
-102.0,103,234.078334
-82.0,83,234.328181
-88.0,89,234.598559
-88.0,89,234.867406
-89.0,90,235.14112
-83.0,84,235.396572
-97.0,98,235.693118
-87.0,88,235.959548
-115.0,116,236.308967
-89.0,90,236.581738
-76.0,77,236.815857
-87.0,88,237.083002
-101.0,102,237.390983
-100.0,101,237.695879
-97.0,98,237.994086
-102.0,103,238.304513
-97.0,98,238.602531
-76.0,77,238.835582
-73.0,74,239.066067
-77.0,78,239.303582
-97.0,98,239.601276
-95.0,96,239.891558
-100.0,101,240.202417
-86.0,87,240.47229
-90.0,91,240.746548
-99.0,100,241.051483
-119.0,120,241.414564
-95.0,96,241.7043
-103.0,104,242.020737
-97.0,98,242.317351
-90.0,91,242.594853
-99.0,100,242.897936
-70.0,71,243.125896
-79.0,80,243.373746
-96.0,97,243.667762
-95.0,96,243.967919
-92.0,93,244.27409
-88.0,89,244.565354
-126.0,127,244.975933
-81.0,82,245.223966
-81.0,82,245.490252
-91.0,92,245.784271
-101.0,102,246.106268
-84.0,85,246.382463
-89.0,90,246.672713
