current_lr,time_elapsed,ent_coef,mean 100 episode reward,qf2_loss,eplenmean,qf1_loss,n_updates,entropy,total timesteps,episodes,fps,ep_rewmean,ent_coef_loss,value_loss,policy_loss
0.0003,2,0.85139006,-1249.2,0.0009059379,200.0,0.0010603874,537,1.2857018,600,4,246,-1249.2135153333331,-0.27201807,0.005142969,-1.8118062
0.0003,5,0.6696692,-1205.0,0.0011248172,200.0,0.0010217915,1337,1.2589145,1400,8,256,-1205.0001098571427,-0.6911919,0.014300774,-3.4183764
0.0003,8,0.52683496,-1288.3,0.0065955934,200.0,0.0066105993,2137,1.2812369,2200,12,245,-1288.2978380000002,-1.0792952,0.0108713135,-4.409608
0.0003,12,0.41444707,-1276.4,0.026878264,200.0,0.02740318,2937,1.26352,3000,16,246,-1276.3657908,-1.4853532,0.0143636735,-5.1705194
0.0003,15,0.32615364,-1275.6,0.009604825,200.0,0.0094187185,3737,1.2348464,3800,20,248,-1275.6297319999996,-1.8565719,0.011067271,-5.5744324
0.0003,18,0.25670475,-1272.3,0.26991796,200.0,0.26613516,4537,1.2809771,4600,24,248,-1272.3127712173912,-2.1841464,0.03724382,-5.784984
0.0003,22,0.20212597,-1232.0,0.0026771827,200.0,0.0024117539,5337,1.2340901,5400,28,244,-1232.0028552592591,-2.6223078,0.009822814,-5.897541
0.0003,25,0.1591695,-1222.8,0.004014429,200.0,0.0043456974,6137,1.2319536,6200,32,239,-1222.7791743548387,-3.0177922,0.0049182014,-5.867676
0.0003,28,0.12550963,-1196.4,0.005013072,200.0,0.004814663,6937,1.2395241,7000,36,242,-1196.441295057143,-3.394896,0.0044525303,-5.7218156
0.0003,32,0.09903026,-1185.3,0.007830618,200.0,0.007892588,7737,1.120014,7800,40,243,-1185.3120252564102,-3.6385376,0.0029192385,-5.462575
0.0003,35,0.07815807,-1181.0,0.2275863,200.0,0.22816555,8537,1.1660037,8600,44,243,-1180.9730744651165,-3.955309,0.002089072,-5.218364
0.0003,38,0.06166348,-1193.2,0.0018120655,200.0,0.001740478,9337,1.1573479,9400,48,244,-1193.2138412127663,-4.503579,0.0021617522,-4.947596
0.0003,53,0.048766874,-1204.5,0.0064394483,200.0,0.0056936727,10137,0.98757756,10200,52,191,-1204.467881411765,-4.5120845,0.019368567,-4.6165204
0.0003,56,0.03855006,-1185.9,0.002600025,200.0,0.0022389228,10937,1.1037946,11000,56,194,-1185.9273465818183,-4.5250883,0.0055938456,-4.30348
0.0003,60,0.030553661,-1174.1,0.12022391,200.0,0.120554864,11737,1.0471202,11800,60,196,-1174.1419829152542,-5.3319807,0.002151357,-4.004513
0.0003,63,0.024186993,-1166.1,0.0016711787,200.0,0.0016399146,12537,0.89718235,12600,64,198,-1166.0719974603173,-5.1921663,0.0051474636,-3.7041402
0.0003,66,0.019137518,-1168.4,0.005424668,200.0,0.005546852,13337,1.0273693,13400,68,201,-1168.437057149254,-5.82934,0.0030297202,-3.3347163
0.0003,69,0.015221495,-1172.8,0.04600712,200.0,0.048148487,14137,1.0846181,14200,72,204,-1172.8481186478878,-5.928376,0.001098718,-3.0826926
0.0003,72,0.012130526,-1175.8,0.047716256,200.0,0.04860666,14937,0.8553436,15000,76,205,-1175.7784918533334,-4.9674015,0.00076653785,-2.8016157
0.0003,75,0.009786938,-1171.1,0.054732032,200.0,0.050145157,15737,0.7294997,15800,80,207,-1171.0541689113925,-5.0726686,0.002598037,-2.580641
0.0003,78,0.00790259,-1166.0,0.03262174,200.0,0.03322396,16537,0.5895036,16600,84,210,-1166.0476266144576,-4.99028,0.0012515945,-2.230647
0.0003,82,0.006475913,-1160.2,0.0007210543,200.0,0.0008316792,17337,0.75566775,17400,88,212,-1160.241453655172,-4.4785914,0.001974148,-2.0014064
0.0003,85,0.0052895276,-1160.8,0.0004888232,200.0,0.000507435,18137,0.571971,18200,92,213,-1160.757687978022,-5.2213154,0.00059478043,-1.7536741
0.0003,88,0.0043184054,-1162.8,0.014219843,200.0,0.011314503,18937,0.6006452,19000,96,214,-1162.762537705263,-3.0518193,0.00013843625,-1.5377932
0.0003,91,0.0035532196,-1159.5,0.01617425,200.0,0.01594604,19737,0.6985545,19800,100,215,-1159.466734151515,-2.6922514,0.00039876456,-1.3265371
0.0003,111,0.0029064158,-1150.4,0.00015955025,200.0,0.0001329438,20537,0.5815661,20600,104,185,-1150.4252264000002,-4.205443,0.0007914525,-1.1446682
0.0003,114,0.0024696395,-1141.8,0.00021507748,200.0,0.00020578873,21337,0.45545095,21400,108,187,-1141.805093,-0.39172894,0.0007529733,-0.96197987
0.0003,117,0.0021920342,-1103.9,0.011500015,200.0,0.011055938,22137,0.1653147,22200,112,189,-1103.89183258,-2.4288616,0.00039192796,-0.77263266
0.0003,120,0.0019753904,-1059.2,0.00018808998,200.0,0.00014979862,22937,0.4667859,23000,116,190,-1059.15950344,-1.8888235,0.0001803367,-0.62566274
0.0003,123,0.0019208046,-1014.6,0.00025002199,200.0,0.00016605677,23737,0.330547,23800,120,191,-1014.61848702,0.63652796,0.00024598872,-0.51301956
0.0003,127,0.0019006004,-975.0,0.0009218706,200.0,0.0018154151,24537,0.3429155,24600,124,193,-975.0126802700001,0.99954855,0.00031678993,-0.45071036
0.0003,130,0.0019125198,-940.1,0.00014243781,200.0,9.906506e-05,25337,0.60467017,25400,128,195,-940.0966669900001,0.16188312,0.00021273046,-0.29549742
0.0003,133,0.0018551536,-904.4,0.00014067434,200.0,0.00010285771,26137,0.3468504,26200,132,196,-904.3911409500002,1.578645,0.00018063223,-0.21104033
0.0003,136,0.0018238135,-872.2,7.280636e-05,200.0,7.662178e-05,26937,0.65197206,27000,136,197,-872.1654827500001,1.6675217,0.00017955402,-0.14716503
0.0003,139,0.0018791934,-835.9,6.819999e-05,200.0,5.5187058e-05,27737,0.73587,27800,140,199,-835.89020259,1.5018946,0.00011667541,-0.07104948
0.0003,142,0.0018044832,-798.9,2.1788952e-05,200.0,3.27099e-05,28537,0.87683684,28600,144,200,-798.9050152400002,-0.6303837,8.262146e-05,-0.033262305
0.0003,145,0.0018529487,-750.8,5.7715955e-05,200.0,2.9413499e-05,29337,0.8339763,29400,148,202,-750.7666032299999,-1.3805768,6.587303e-05,0.03133546
